x,y,label
"0.80571, 0.87948",,1
"0.77325, 0.73555",,1
"0.73857, 0.58196",,1
"0.73055, 0.54618",,1
"0.62474, 0.076931",,1
"0.78489, 0.77428",,1
"0.75622, 0.64756",,1
"0.67560, 0.28960",,1
"0.80144, 0.84512",,1
"0.79652, 0.81558",,1
"0.73115, 0.51537",,1
"0.62586, 0.051023",,1
"0.69440, 0.34728",,1
"0.83460, 0.96386",,1
"0.68929, 0.31945",,1
"0.66639, 0.21788",,1
"0.75637, 0.61180",,1
"0.82941, 0.93315",,1
"0.77898, 0.70950",,1
"0.67472, 0.24712",,1
"0.65477, 0.15863",,1
"0.77306, 0.67810",,1
"0.66367, 0.18781",,1
"0.65493, 0.12591",,1
"0.80777, 0.79344",,1
"0.79895, 0.75430",,1
"0.72220, 0.41652",,1
"0.70151, 0.34792",,1
"0.65012, 0.094291",,1
"0.82501, 0.86474",,1
"0.74064, 0.48801",,1
"0.73351, 0.45637",,1
"0.83337, 0.89154",,1
"0.75808, 0.55803",,1
"0.69386, 0.27321",,1
"0.82045, 0.82906",,1
"0.65020, 0.068901",,1
"0.85070, 0.95296",,1
"0.84377, 0.91706",,1
"0.78293, 0.64210",,1
"0.76976, 0.58628",,1
"0.75775, 0.53043",,1
"0.70872, 0.30529",,1
"0.80574, 0.72783",,1
