x,y,label
0.01394,0.6124,vdj_nextgem_hs_pbmc323
0.2237,0.6018,vdj_nextgem_hs_pbmc324
0.389,0.5861,vdj_nextgem_hs_pbmc325
0.76,0.5694,vdj_nextgem_hs_pbmc326
0.2866,0.5957,vdj_nextgem_hs_pbmc327
0.9559,0.5709,vdj_nextgem_hs_pbmc328
1.068,0.565,vdj_nextgem_hs_pbmc329
-0.06823,0.6339,vdj_nextgem_hs_pbmc330
0.0321,0.6263,vdj_nextgem_hs_pbmc331
0.8209,0.586,vdj_nextgem_hs_pbmc332
0.5472,0.6051,vdj_nextgem_hs_pbmc333
0.5918,0.5987,vdj_nextgem_hs_pbmc334
-0.02017,0.6349,vdj_nextgem_hs_pbmc335
0.5019,0.6067,vdj_nextgem_hs_pbmc336
0.1847,0.6173,vdj_nextgem_hs_pbmc337
0.6823,0.5993,vdj_nextgem_hs_pbmc338
0.9055,0.5848,vdj_nextgem_hs_pbmc339
0.9935,0.594,vdj_nextgem_hs_pbmc340
0.6505,0.6128,vdj_nextgem_hs_pbmc341
0.8615,0.6015,vdj_nextgem_hs_pbmc342
0.2793,0.6307,vdj_nextgem_hs_pbmc343
0.9367,0.5953,vdj_nextgem_hs_pbmc344
1.034,0.5981,vdj_nextgem_hs_pbmc345
-0.07878,0.6607,vdj_nextgem_hs_pbmc346
0.317,0.6318,vdj_nextgem_hs_pbmc347
0.6126,0.6271,vdj_nextgem_hs_pbmc348
0.8149,0.6104,vdj_nextgem_hs_pbmc349
0.4625,0.6401,vdj_nextgem_hs_pbmc350
0.5497,0.6309,vdj_nextgem_hs_pbmc351
-0.02125,0.663,vdj_nextgem_hs_pbmc352
0.5185,0.6465,vdj_nextgem_hs_pbmc353
0.7413,0.6294,vdj_nextgem_hs_pbmc354
0.2211,0.6588,vdj_nextgem_hs_pbmc355
0.412,0.6467,vdj_nextgem_hs_pbmc356
0.1574,0.6532,vdj_nextgem_hs_pbmc357
0.7112,0.6355,vdj_nextgem_hs_pbmc358
0.9562,0.6344,vdj_nextgem_hs_pbmc359
0.8703,0.6242,vdj_nextgem_hs_pbmc360
0.9031,0.6368,vdj_nextgem_hs_pbmc361
0.1094,0.6706,vdj_nextgem_hs_pbmc362
1.012,0.6233,vdj_nextgem_hs_pbmc363
1.075,0.6352,vdj_nextgem_hs_pbmc364
-0.08692,0.6818,vdj_nextgem_hs_pbmc365
0.3361,0.6705,vdj_nextgem_hs_pbmc366
0.9256,0.6447,vdj_nextgem_hs_pbmc367
0.09698,0.6923,vdj_nextgem_hs_pbmc368
0.4587,0.6722,vdj_nextgem_hs_pbmc369
0.2829,0.6848,vdj_nextgem_hs_pbmc370
0.599,0.6706,vdj_nextgem_hs_pbmc371
0.2071,0.6933,vdj_nextgem_hs_pbmc372
0.3983,0.6824,vdj_nextgem_hs_pbmc373
0.5221,0.6711,vdj_nextgem_hs_pbmc374
-0.02525,0.7071,vdj_nextgem_hs_pbmc375
0.4371,0.6886,vdj_nextgem_hs_pbmc376
0.7205,0.666,vdj_nextgem_hs_pbmc377
0.2405,0.7008,vdj_nextgem_hs_pbmc378
0.9669,0.6641,vdj_nextgem_hs_pbmc379
0.1818,0.7014,vdj_nextgem_hs_pbmc380
0.886,0.6751,vdj_nextgem_hs_pbmc381
1.049,0.6668,vdj_nextgem_hs_pbmc382
0.9329,0.6633,vdj_nextgem_hs_pbmc383
0.7952,0.6825,vdj_nextgem_hs_pbmc384
0.107,0.7249,vdj_nextgem_hs_pbmc385
0.9971,0.6876,vdj_nextgem_hs_pbmc386
0.2853,0.7184,vdj_nextgem_hs_pbmc387
0.5965,0.7093,vdj_nextgem_hs_pbmc388
0.4099,0.704,vdj_nextgem_hs_pbmc389
0.8218,0.6938,vdj_nextgem_hs_pbmc390
-0.009532,0.7424,vdj_nextgem_hs_pbmc391
0.4479,0.7155,vdj_nextgem_hs_pbmc392
0.7141,0.7015,vdj_nextgem_hs_pbmc393
-0.04514,0.7339,vdj_nextgem_hs_pbmc394
0.209,0.7249,vdj_nextgem_hs_pbmc395
0.1679,0.7404,vdj_nextgem_hs_pbmc396
0.548,0.7209,vdj_nextgem_hs_pbmc397
0.9677,0.6917,vdj_nextgem_hs_pbmc398
0.8867,0.7104,vdj_nextgem_hs_pbmc399
0.08733,0.75,vdj_nextgem_hs_pbmc400
0.2583,0.7525,vdj_nextgem_hs_pbmc401
1.024,0.7116,vdj_nextgem_hs_pbmc402
0.1461,0.7576,vdj_nextgem_hs_pbmc403
0.3328,0.747,vdj_nextgem_hs_pbmc404
0.5777,0.7394,vdj_nextgem_hs_pbmc405
0.4992,0.7358,vdj_nextgem_hs_pbmc406
0.82,0.7185,vdj_nextgem_hs_pbmc407
0.4318,0.7494,vdj_nextgem_hs_pbmc408
0.7062,0.7256,vdj_nextgem_hs_pbmc409
0.2302,0.764,vdj_nextgem_hs_pbmc410
0.63,0.7414,vdj_nextgem_hs_pbmc411
0.1692,0.7791,vdj_nextgem_hs_pbmc412
0.5564,0.745,vdj_nextgem_hs_pbmc413
0.768,0.7451,vdj_nextgem_hs_pbmc414
0.8508,0.7395,vdj_nextgem_hs_pbmc415
0.898,0.7512,vdj_nextgem_hs_pbmc416
1.063,0.7351,vdj_nextgem_hs_pbmc417
0.3202,0.7747,vdj_nextgem_hs_pbmc418
0.1163,0.7952,vdj_nextgem_hs_pbmc419
0.2736,0.7875,vdj_nextgem_hs_pbmc420
0.4323,0.7707,vdj_nextgem_hs_pbmc421
-0.04803,0.8097,vdj_nextgem_hs_pbmc422
0.1962,0.7958,vdj_nextgem_hs_pbmc423
0.9895,0.7613,vdj_nextgem_hs_pbmc424
0.7194,0.7684,vdj_nextgem_hs_pbmc425
0.2355,0.7939,vdj_nextgem_hs_pbmc426
0.159,0.8139,vdj_nextgem_hs_pbmc427
0.9318,0.7627,vdj_nextgem_hs_pbmc428
0.004399,0.8138,vdj_nextgem_hs_pbmc429
0.4889,0.7991,vdj_nextgem_hs_pbmc430
-0.03807,0.8254,vdj_nextgem_hs_pbmc431
0.5563,0.7932,vdj_nextgem_hs_pbmc432
0.7826,0.7814,vdj_nextgem_hs_pbmc433
0.8915,0.7875,vdj_nextgem_hs_pbmc434
0.976,0.7761,vdj_nextgem_hs_pbmc435
1.05,0.7719,vdj_nextgem_hs_pbmc436
0.8412,0.7918,vdj_nextgem_hs_pbmc437
0.9994,0.7979,vdj_nextgem_hs_pbmc438
0.5069,0.8259,vdj_nextgem_hs_pbmc439
0.1539,0.8419,vdj_nextgem_hs_pbmc440
0.2687,0.8378,vdj_nextgem_hs_pbmc441
0.7142,0.8095,vdj_nextgem_hs_pbmc442
0.3975,0.8351,vdj_nextgem_hs_pbmc443
0.5854,0.8246,vdj_nextgem_hs_pbmc444
0.4359,0.8277,vdj_nextgem_hs_pbmc445
0.9171,0.8051,vdj_nextgem_hs_pbmc446
0.02373,0.8561,vdj_nextgem_hs_pbmc447
0.2209,0.8518,vdj_nextgem_hs_pbmc448
-0.02344,0.8703,vdj_nextgem_hs_pbmc449
0.8341,0.8247,vdj_nextgem_hs_pbmc450
0.1037,0.8666,vdj_nextgem_hs_pbmc451
0.3256,0.8482,vdj_nextgem_hs_pbmc452
1,0.8105,vdj_nextgem_hs_pbmc453
0.5233,0.8554,vdj_nextgem_hs_pbmc454
0.9574,0.8246,vdj_nextgem_hs_pbmc455
0.1408,0.8808,vdj_nextgem_hs_pbmc456
0.2844,0.8719,vdj_nextgem_hs_pbmc457
0.5661,0.8545,vdj_nextgem_hs_pbmc458
0.801,0.8554,vdj_nextgem_hs_pbmc459
0.04037,0.8908,vdj_nextgem_hs_pbmc460
0.2141,0.8847,vdj_nextgem_hs_pbmc461
0.6469,0.87,vdj_nextgem_hs_pbmc462
0.7381,0.8629,vdj_nextgem_hs_pbmc463
0.8842,0.8573,vdj_nextgem_hs_pbmc464
-0.01843,0.8937,vdj_nextgem_hs_pbmc465
0.5918,0.8746,vdj_nextgem_hs_pbmc466
0.6922,0.8682,vdj_nextgem_hs_pbmc467
0.4205,0.8917,vdj_nextgem_hs_pbmc468
0.07181,0.9152,vdj_nextgem_hs_pbmc469
0.1494,0.9104,vdj_nextgem_hs_pbmc470
0.2848,0.9062,vdj_nextgem_hs_pbmc471
0.4744,0.8875,vdj_nextgem_hs_pbmc472
0.8104,0.8872,vdj_nextgem_hs_pbmc473
0.9713,0.8766,vdj_nextgem_hs_pbmc474
0.205,0.9038,vdj_nextgem_hs_pbmc475
0.3633,0.908,vdj_nextgem_hs_pbmc476
0.7804,0.8845,vdj_nextgem_hs_pbmc477
0.7338,0.8981,vdj_nextgem_hs_pbmc478
0.8657,0.8898,vdj_nextgem_hs_pbmc479
0.5487,0.9049,vdj_nextgem_hs_pbmc480
0.6863,0.9034,vdj_nextgem_hs_pbmc481
0.3998,0.9213,vdj_nextgem_hs_pbmc482
0.02097,0.9414,vdj_nextgem_hs_pbmc483
0.05744,0.945,vdj_nextgem_hs_pbmc484
